thread_id,brand,customer_message,agent_response,created_at,intent,label_type
T1790876,SpotifyCares,Need Acid Rap by and K.I.D.S. by and Cul De Sac by on ASAAAAAP plzzzzz,"Hey there! We’d love to have all of their stuff available, but we have some info about content here:",2017-10-12 21:42:56+00:00,other,weak_keyword_rule
T2776429,Delta,is the worst airline. I will never fly with them again #horribleservice,Hi Rio! What happened?,2017-11-21 15:13:27+00:00,other,weak_keyword_rule
T424105,Delta,I see it. Thank you!,It's been my pleasure. Have a great flight!,2017-10-10 11:24:45+00:00,other,weak_keyword_rule
T1494387,Delta,Love first class upgrades! Thank you !,WOW! Love being your ride today. Have a great flight!,2017-11-03 11:14:21+00:00,other,weak_keyword_rule
T546450,AmazonHelp,"Schön. Dann reden wir halt hier über Pakete. So geht das nicht. , was sagt ihr.ä? Für mich lag auch eines öffentlich zugänglich herum.","Hi, so soll das natürlich nicht ablaufen. Melde dich bitte hier: Die Kollegen werden eine Zustellerbeschwerde in die Wege leiten. Gruß",2017-12-02 17:31:00+00:00,other,weak_keyword_rule
T781197,AmazonHelp,"Liegt fast immer an den Personen! Hermes hier super! Amazon Logistics, der eigene Dienst, ist bisher stark dabei, das schlimmste zu werden.","Wenn du weiterhin Probleme haben solltest, kannst du dich direkt bei uns im Social Media Team melden:",2017-10-13 09:28:33+00:00,other,weak_keyword_rule
T2023640,Delta,Ate you guys asleep???,"Dza, apologies for the delayed response. We've gotten a little busy over here. Didn't forget about you. Pls give me just a sec.",2017-11-06 12:14:02+00:00,other,weak_keyword_rule
T2194218,Uber_Support,I have multiple charges on my bank account for the same trip. your support department did not help resolve this matter.,We've been in touch via DM!,2017-11-09 20:28:42+00:00,other,weak_keyword_rule
T2183109,SpotifyCares,"is there a way to refresh my daily mixes? they are literally always exactly the same songs, it's essentially just a normal playlist and i can't even shuffle","Hey George! Your Daily Mix is based on your music taste, tap ❤️ or 🚫 to improve your mix. Give us a shout if you have any questions",2017-11-09 16:09:56+00:00,other,weak_keyword_rule
T539816,AmazonHelp,I am not sure why I preorder from because they rarely fulfill the release street date of musical box sets. #U2SongsofExperience #december1st,"We hate to let you down! Have we missed the delivery date given in your order confirmation e-mail? We'd like to help, Robert!",2017-12-02 14:56:51+00:00,other,weak_keyword_rule
T1043197,AmazonHelp,"Yeah, I use their english site. It's reasonable well translated.",We're trying to translate as much as we can. Thanks for the feedback. I forwarded this issue to the relevant department.,2017-10-23 09:18:00+00:00,other,weak_keyword_rule
T1558931,AmazonHelp,Hey . Warum verschickt Ihr erst heute? Unter Lieferung am Releasetag verstehe ich etwas anderes.,"Hallo, oh das sollte natürlich nicht passieren. Was sagt denn das voraussichtliche Lieferdatum?",2017-10-17 04:25:00+00:00,other,weak_keyword_rule
T1500107,Delta,disappointed me today #DL1185 #ATL to #ABQ Changed my selected exit row seat to the back of the airplane. So much for #loyalty,"Javier, my apologies for the seating changes! I'll take a look at your booking.",2017-11-03 15:10:32+00:00,other,weak_keyword_rule
T1136424,Delta,"Ok, thanks. You just saved me a bunch of time on hold..",You're welcome. Thank you for tweeting us today.,2017-10-15 16:04:33+00:00,other,weak_keyword_rule
T2077637,SpotifyCares,E mail __email__,Thanks. We suggest you delete your last tweets as it shows your email address. Can you DM your members' email addresses to us as well?,2017-10-09 14:47:23+00:00,other,weak_keyword_rule
T2816787,Delta,just sent DM about item left on prior flight. Too late to return to p/u almost at connection.,Hello! taking a look at it now!,2017-11-27 03:37:36+00:00,other,weak_keyword_rule
T708705,SpotifyCares,"I do love on Android Auto but the interface is crying out for a shuffle button for playlists, especially on long journeys!",Hey Tom! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝,2017-10-10 20:27:00+00:00,other,weak_keyword_rule
T1177323,AmazonHelp,sir i am rohit vijan i have purchased fitbit altra hr so i returned the product on 11 nov since 25 nov my refund isn't initiated till yet. I am the prime customer of amazon is that service u provide to customers order id 404-8920760-5106753.,"I'm sorry that you haven't received the refund yet, please share your details here: and we'll assist you accordingly. Please don’t provide your order details as we consider them to be personal information. Our page is visible to the public.",2017-11-25 12:08:55+00:00,billing_refund,weak_keyword_rule
T1835656,Uber_Support,"urs is such a pathetic service with no instant solution as a customer can't ring u to get an immediate help in emergency, u need mail","Here to help! Can you please provide us your email address and more details regarding your concern? So we can assist further, Thank you!",2017-10-18 15:54:18+00:00,other,weak_keyword_rule
T1261930,SpotifyCares,How do I take the alphabetical order off my playlist ?,Hey! We have more info about this here: Give us a shout if there's anything else,2017-10-16 06:04:25+00:00,other,weak_keyword_rule
T2509382,AppleSupport,"iCloud photo library seems to download every image, even recently taken. I have plenty of space left. What gives?",We'll work with you to figure this out. Let's start by checking Settings > Photos > Optimize iPhone Storage to see if it is turned on. Let us know what you find.,2017-11-15 22:27:32+00:00,other,weak_keyword_rule
T2410634,Uber_Support,"Wow, falling apart like wet cake. Stores appearing in the search, and then not, getting things in basket and then crash! Disaster!","We've been overwhelmed by demand! Keep trying, and we hope to get to you ASAP.",2017-11-14 16:39:22+00:00,technical_issue,weak_keyword_rule
T1225844,AppleSupport,This new update sucks why is it so slow,We surely want to help. Which device is this happening on & what version of iOS is currently installed?,2017-10-25 19:17:35+00:00,other,weak_keyword_rule
T1415364,Delta,"Just sent a question via DM, should I have checked with you here first?",Brent I also sent you a DM.,2017-11-02 02:17:38+00:00,other,weak_keyword_rule
T1655633,AppleSupport,Hey fix this please I️,Here’s what you can do to work around the issue until it’s fixed in a future software update:,2017-11-06 03:15:00+00:00,other,weak_keyword_rule
T1733261,SpotifyCares,I've done it 🤓 got 0011! 🙋🏽 #happy,"Sounds awesome! We're glad you liked it. If there's anything else, just give us a shout",2017-11-07 13:00:39+00:00,other,weak_keyword_rule
T2437399,Delta,Thanks ! Everyone’s flights are fine but mine. I’d be on my way home if I booked !,We look forward to you flying with us in the future. ✈,2017-10-29 15:33:10+00:00,other,weak_keyword_rule
T2897552,AmazonHelp,Done! Looking forward to resolving this. Thank you.,Thank you for your patience while we investigate this for you.,2017-11-28 17:10:35+00:00,other,weak_keyword_rule
T81782,AppleSupport,Why was Travis so rude and condescending when I was trying to find out why my $1200 defective #iPhoneX won’t work properly?,Hello. Let's meet up in DM and discuss. We'd like to learn more about your experience.,2017-11-30 20:45:00+00:00,other,weak_keyword_rule
T2291828,SpotifyCares,why can't you bookmark track and go to another playlist or album . Then go back to track. Playlist are so big cannot not always find last track played when playing two playlists at once,"Hi there! This isn't possible at the moment, but we'll be sure to pass your feedback on to the right folks. Anything else, let us know",2017-11-12 11:56:29+00:00,other,weak_keyword_rule
T2470234,SpotifyCares,is the hardest app i've ever used in my entire life. I have not played one song that i've wished to play.,Hey there! We'd love to help out. Can you DM us your account's username or email address? We'll see what we can suggest,2017-11-15 11:09:06+00:00,other,weak_keyword_rule
T2165526,SpotifyCares,I’m with Premium and that is not true - you can’t play without wifi unless you download the song? How would that work otherwise?,"Hey! Before anything else, could you DM us your account's email address or username? We'll check things out",2017-11-09 09:11:48+00:00,other,weak_keyword_rule
T1752539,Uber_Support,"1. Uber Eats driver keeps delivering my food half eaten. When confronted, he denies... I then spot him in his car eating the salad. Cue gif","This is concerning, Nikki. Please DM us your Uber email and phone # so we can look into this.",2017-11-07 18:37:37+00:00,other,weak_keyword_rule
T1806491,AmazonHelp,"Misdelivery... delivery attempt that didn't actually happen, assurances the 2nd attempts would happen next AM, packages didn't even go out for delivery next day.",Oh no! I'm sorry that you haven't received your order yet! Who's the carrier? You can find out here:,2017-11-14 23:49:29+00:00,other,weak_keyword_rule
T2052778,SpotifyCares,I heard around that we could have full screen album art with a button next to the play bar? Where is it lol...,"Hey Cooper! The feature is currently available to Premium users, but we'll let the right team know it's something you'd like to see",2017-10-06 00:28:27+00:00,other,weak_keyword_rule
T1384687,Delta,I am trying to file a damaged baggage claim after my perfume was shattered during my flight to Boston last week. Trying to locate the “File Reference Number”. Is it on this ticket? Thank you,I am sorry to hear that. Could you please send in DM the ticket number related to this trip?,2017-11-25 21:57:17+00:00,shipping_delivery,weak_keyword_rule
T2496144,Delta,!!!!! You have struck again with your inconvenient ways...,Please let us know if you have a reservation I can assist with.,2017-10-30 01:35:00+00:00,other,weak_keyword_rule
T595832,AppleSupport,"I just got (another) email that's not legitimate, telling me to ""verify"" my Apple ID. I reported them as spam and sent the email to __email__ - is there anything else I can do? I don't feel very safe and I don't want anything to happen to my account","Thanks for reaching out. Reporting these messages is the best thing you can do. As long as you don't give out any personal data, you should be in good shape. However, if you're concerned about your account, you can follow these steps:",2017-12-03 18:52:00+00:00,other,weak_keyword_rule
T2756725,AmazonHelp,Amazon is the carrier.,I would like to have someone from my team take a closer look into this with you. Please fill out your details here: and someone will be in contact with you.,2017-11-21 03:27:30+00:00,other,weak_keyword_rule
T1547939,SpotifyCares,Hey I really love Lemon by NERD and Rihanna. I think it would fit perfectly to your playlist of Today’s Top Hits 😍🍋,"Hey! Our Curation team are independent & use taste, data, research, and trends to create playlists, but we’ll pass on your suggestion",2017-11-04 08:02:00+00:00,other,weak_keyword_rule
T1731206,AmazonHelp,Have you released it ?,We're working on this and the results will be out soon. Please stay tuned.,2017-11-08 14:27:00+00:00,other,weak_keyword_rule
T2833745,Uber_Support,I just requested an Uber for someone however the app modified the contact number I added and I confirmed the ride it stated that the contact number is incorrect and cancelled the whole process however the trip fee was deducted from my account.,Here to help! Send us a note via to assist you further.,2017-11-27 14:00:53+00:00,other,weak_keyword_rule
T909848,Delta,#IROPS on #DL1284. Access door indicator says its open. It’s closed. Waiting on paperwork. ✈️ #Maintenance,"Oh no! Sorry for the delay today, Ron. We hope to have you on your way soon! ✈",2017-10-10 15:38:23+00:00,other,weak_keyword_rule
T2520571,AmazonHelp,"hello. I bought few things and requested a two-day shipping, and the package is supposed to be here already, but I still haven't received it! Do I get reimbursement since I did not get in two days? USPS is the carrier",I'm sorry you've not yet received your order. We're here to help! What is the latest tracking update? You can find that information here:,2017-11-16 01:21:34+00:00,billing_refund,weak_keyword_rule
T1856347,AmazonHelp,What correspondence are you referring too???,Kindly check and reply to the email sent by social media.,2017-10-19 19:01:31+00:00,other,weak_keyword_rule
T1751505,AppleSupport,"what’s wrong with the software? Every time I type and I,!it tries to auto correct to I️",Here’s what you can do to work around the issue until it’s fixed in a future software update:,2017-11-07 18:15:00+00:00,other,weak_keyword_rule
T1296890,Delta,terrible customer service. Never making a hotel reservation through your website. And the call center... shameful.,Please let us know if there is anything we can do for you via this channel.,2017-10-26 22:07:28+00:00,other,weak_keyword_rule
T1337149,AmazonHelp,"can you answer my simple question about product,?","Sure, Rhushikesh. Please let us know your concern and we will help you out accordingly.",2017-10-27 14:43:24+00:00,other,weak_keyword_rule
T462507,AmazonHelp,Yes. Ordered Monday with Prime. Was told delivery today (3 days) and now saying it’ll be here within the next two days.,Yikes! I'm sorry that happened. Can you provide info on who the carrier is:,2017-12-01 02:35:38+00:00,other,weak_keyword_rule
T1062198,AppleSupport,Never mind I found the setting :),"Awesome, we're glad to hear that you got that sorted out! If you need anything else, please let us know.",2017-10-23 13:36:01+00:00,other,weak_keyword_rule
T2015696,AppleSupport,"why is everyone I's turning into ?,? Please fix it.🙂",Thanks for reaching out. We have a workaround for this here: DM us if you still need help.,2017-11-05 19:38:53+00:00,other,weak_keyword_rule
T2073386,Delta,"hi, I'm just wondering if you have any plans to support gender-neutral titles (e.g. Mx instead of Mr/Ms/Mrs/etc) in future?",Thank you for asking. Please follow via DM for assistance.,2017-10-19 02:04:07+00:00,other,weak_keyword_rule
T587051,AppleSupport,"Hi ! Why is Apple Music randomly stops playing ""not downloaded"" tracks and skipping to the next song? How can i fix it?",We want to help. Does this happen on more than one device? Does it happen both when you are connected to Bluetooth and Wi-Fi?,2017-12-03 15:21:25+00:00,other,weak_keyword_rule
T2917812,SpotifyCares,Wtf Spotify?? Should’ve got Apple Music!!,"Hey! Sorry to hear that. We had a little hiccup earlier, but everything should be running just fine now",2017-11-29 00:20:29+00:00,other,weak_keyword_rule
T1277356,SpotifyCares,That's exactly what happens,Hmm. Can you try the steps here for us: Keep us posted,2017-10-26 17:28:06+00:00,other,weak_keyword_rule
T2531442,Uber_Support,"really did it this time, driver went the wrong way for pick up now I'm running late to my flight 😠😠 and they still charged me!",Sorry to hear about that! Can you please contact us via so our team can connect.,2017-10-30 11:12:05+00:00,billing_refund,weak_keyword_rule
T1374710,Delta,She's a total beauty.,Welcome aboard!,2017-10-28 01:13:03+00:00,other,weak_keyword_rule
T2392739,AmazonHelp,Delivery services from Amzon is very poor and unprofessional. Very bad Amazon..,Sorry for any inconvenience you've faced. Please let us know if any of your concerns went unaddressed.,2017-11-14 10:46:24+00:00,other,weak_keyword_rule
T2790701,AppleSupport,why do my played and/or deleted podcasts keep downloading to my feed?? I am constantly having to re-delete them.,Let's look into that. What device is the issue occurring on?,2017-11-21 20:07:00+00:00,other,weak_keyword_rule
T1473423,SpotifyCares,Yo when y’all getting Jay Z?,Hi! We can confirm that some of Jay Z's catalog has been removed at the request of the artist,2017-11-03 01:40:31+00:00,other,weak_keyword_rule
T1781020,Delta,"i’m super disappointed I should’ve already been in Erie, PA- but the plane has been in taxi mode for over an hour due to issues.",Oh no. So sorry to hear about the delay. We appreciate your continued patience. Please let us know if we can further assist.,2017-10-11 22:25:11+00:00,other,weak_keyword_rule
T2442021,SpotifyCares,IOS 11.1 & Spotify 8.4.26.793,"Got it. How long has this been going on? Is this happening on 3G/4G, WiFi, or both?",2017-11-14 23:28:35+00:00,other,weak_keyword_rule
T1051415,AppleSupport,Hey can you fix whatever bug is with your iOS so I can’t connect a personal hotspot thanks,"You've come to the right place. Is the issue with you connecting to a hotspot, or creating one from your device?",2017-10-13 02:11:00+00:00,technical_issue,weak_keyword_rule
T2064019,Delta,"just when I was comfortable with things again, BAM!! Middle Seat Upgrade! Do I really have to watch it that closely to not get hosed?","Hello Dennis, I'm so sorry we let you down like this! Please know we appreciate you letting us know, this helps us get better!",2017-10-06 18:06:28+00:00,other,weak_keyword_rule
T39780,Delta,learning to fly And loving it. thanks to you,We love putting you and your family in the clouds. It looks like your next stop is the stars! #KeepClimbing,2017-11-01 15:03:23+00:00,other,weak_keyword_rule
T2846327,AmazonHelp,"Je ne me donnerai plus cette peine. En effet vos collègues disent d'attendre le 5 décembre. Et j'imagine que le second colis aura le même destin que le 1er colis. C'est à dire AUCUN!! 😒je suis très déçu 2 fois en 2 semaines, où allons nous? Ou plutôt où vont les colis?","Je vous comprends, veuillez remplir le formulaire sur le lien suivant afin que je puisse vérifier de plus près votre dossier SVP:",2017-11-27 18:47:00+00:00,other,weak_keyword_rule
T930313,AmazonHelp,"Es vendido por Amazon, saludos!",En el siguiente enlace vas a poder ver las opciones de reembolso reemplazo del producto:,2017-11-20 21:14:43+00:00,other,weak_keyword_rule
T2428984,Delta,been sitting on DL 1530...Little communication on a plane full of kids headed to Disney. Some type of concession should be made,"Hey Todd, that can be a bit noisy. Please feel free to reach out to a Flight Attendant in regards to your seat.",2017-11-26 18:01:56+00:00,other,weak_keyword_rule
T2023106,AmazonHelp,"Well, shipping date 7/11, can a new order be placed and combined before shipping begins? I target shipping cost reduction, is this possible?","In order to combine orders, you'll need to cancel the original order and place a new order with all items.",2017-10-18 21:54:08+00:00,other,weak_keyword_rule
T913596,Uber_Support,$99.99 for a bacon double cheeseburger? Lol & you guys might want to fix this.,Hi - thank you for bringing this to our attention. Please DM us the city you are located in so we may follow up on this.,2017-10-10 16:54:51+00:00,other,weak_keyword_rule
T2631504,AppleSupport,Hey that goes with your updates to #iPhone? It seems that I have the iPhone 3G iOS systems on my phone! 📱,What's going on with your iPhone? We're eager to help get things resolved for you.,2017-11-17 18:39:00+00:00,other,weak_keyword_rule
T607370,AmazonHelp,see how such a big company making us fool,I get your concern. Sorry for any hassle. Could you please confirm if you have shared your details using the secured link provided earlier?,2017-11-22 13:32:27+00:00,other,weak_keyword_rule
T255579,AppleSupport,"why, since this latest update, does my phone keep turning my WiFi on when I’ve turned it off??",This article will highlight how you can use and turn off Wifi in the new iOS:,2017-10-05 18:46:29+00:00,other,weak_keyword_rule
T2295744,AppleSupport,<14 hours after I upgraded my original Apple Watch to WatchOS 4.1: The calendar doesn’t work (says its uninstalled?) and it’s now frozen to the point of needing a hard restart twice. How do I fix this?,"we understand how convenient and important your Apple Watch is. We're here to help. Meet us in DM with the iPhone you're paired with, and the version of iOS on that device.",2017-11-12 21:06:00+00:00,other,weak_keyword_rule
T535771,AmazonHelp,Day 3 and no sign of my #Prime package that was guaranteed to be delivered Dec 1. This is now a matter of grit and survival. #FirstWorldProblems,Oh no! We're sorry you package hasn't arrived! Were you given an update delivery date or a notice of delay? We'd like to help!,2017-12-02 12:55:28+00:00,other,weak_keyword_rule
T2492740,Delta,thanks much for that insight. small bags of cheerios or similar puffs okay or nah?,"Yes, those items are acceptable for infant travel.",2017-11-15 19:03:31+00:00,other,weak_keyword_rule
T536567,AmazonHelp,"I'm unable to download this, may I know why? Is it because language support issue?","We'd like to check this. Please reach out to us, here: and a member from our support team shall assist you further.",2017-12-02 13:31:52+00:00,other,weak_keyword_rule
T2045934,AppleSupport,My phone keeps freezing after the iOS 11.1 update. Any tips?,Let's take a look in DM. Let us know which iPhone you have and if it freezes in a specific app. We'll work together there.,2017-10-05 01:45:28+00:00,technical_issue,weak_keyword_rule
T971356,SpotifyCares,Yeah I only have a short house unfortunately,"We hear you 🎧 Rest assured, your feedback will be passed on to the right folks",2017-10-22 08:05:13+00:00,other,weak_keyword_rule
T2105914,AppleSupport,my iPhone is constantly pausing and skipping my music when my earphones are plugged in,We'd like to look into this with you. Does it also happen in Apple Music?,2017-11-08 13:33:33+00:00,other,weak_keyword_rule
T1060697,SpotifyCares,"spotify:artist:3tU0QoBJjrTlCkLouDDJ24 should be on page: spotify:artist:5hyTyL9tIYZn4PNpr4wpGg Ta, :D",Hey there! Can you tell us more about what's happening? We'll see what we can do to help,2017-10-23 13:12:58+00:00,other,weak_keyword_rule
T1003854,AppleSupport,Thanks for charging my account without notification and sending me into a full blown panic attack because where did my money go??????,We want to look into this with you. Here's a link to DM us.,2017-10-14 13:08:33+00:00,other,weak_keyword_rule
T904320,Delta,A8 On more travel- duh! Love the redemption as well as ! #TravelSkills,Have a great flight!,2017-11-10 17:46:26+00:00,other,weak_keyword_rule
T1305663,AppleSupport,I wanted to update album covers but Itunes on my computer isn’t opening help,"Let's help get your album covers updated. Have you tried any troubleshooting, like trying to reboot the computer?",2017-10-27 02:16:57+00:00,other,weak_keyword_rule
T1278052,AmazonHelp,why is every item I find on Amazon prime shipping 6 days out? Why isn't it 2 days like I'm paying for?,"Hi, you can click here to help better understand Shipping & Delivery Dates: I hope this helps.",2017-10-26 16:28:01+00:00,other,weak_keyword_rule
T1805649,Uber_Support,I started my period and my McDonalds never showed your services suck,We're here to help! Send us a note via so our team can assist.,2017-10-28 18:50:30+00:00,other,weak_keyword_rule
T820684,AppleSupport,Hey there how can I share a home video? Since it’s a home video Why there’s no sharing option here?,Is this related to the convo we were having in DM a couple days ago? Did the guide we sent out not work for you? Just let us know!,2017-10-12 21:58:30+00:00,other,weak_keyword_rule
T2510911,AmazonHelp,"Hi Amazon, if I pre order #AssassinsCreedOrigins via in Germany it will be shipped In time. - not two days later","Wir versenden ausgewählte Games so, dass diese am Erscheinungstag bei dir ankommen. Hier mehr Infos:",2017-10-30 05:07:00+00:00,other,weak_keyword_rule
T239814,SpotifyCares,Seems to be working now! Cheers 👍🏻,Awesome! We're glad to hear that. Let us know if you ever need us again. We'd be...,2017-09-27 11:56:46+00:00,other,weak_keyword_rule
T2544100,SpotifyCares,"Thanks, signed up for that last night. Just waiting on approval email!","We've just passed this onto the team, you should have an email waiting for you with some good news! /I",2017-11-16 14:11:01+00:00,other,weak_keyword_rule
T348062,AmazonHelp,Frm app able to search but couldnt select. Clearly its prblm due great indian festival. U keep on denying site is ok. I will use snapdeal.,Sorry for the trouble. Kindly reinstall the app once.,2017-10-08 10:54:53+00:00,other,weak_keyword_rule
T2960027,AmazonHelp,where’s my tv going... it came to my ups then back to Sacramento....,Thanks for reaching out to us. It's a possibility that one of these scans were accidental. Have we missed the delivery date received on your confirmation e-mail? You can find that here:,2017-11-29 20:16:28+00:00,other,weak_keyword_rule
T814312,AmazonHelp,Now what i do.. will it be refunded or not🙏,"I understand your concern, Gagan. Connect with us using the link provided earlier. We'll look into this.",2017-10-21 01:05:27+00:00,billing_refund,weak_keyword_rule
T2404051,SpotifyCares,SPOTIFY WHEN IS THE LYRICS FUNCTION FOR DESKTOP COMING BACK ???!!!!??? I miss it :(,"Hey, we hear you! Any updates will be posted at We'd recommend voting to support the idea, too",2017-11-14 14:26:52+00:00,other,weak_keyword_rule
T373737,SpotifyCares,cant sign into you cervice...,"Hi, help's here! Can you DM us the email address that you're using? We'll take a look backstage",2017-10-09 00:27:18+00:00,account_access,weak_keyword_rule
T2823413,Uber_Support,This is crazy. I clicked on the location in the email and I was never there. I didn't schedule an Uber at this time. Should I delete my account?,We're here to help! Send us a DM with your email address so we can assist.,2017-11-27 09:05:10+00:00,other,weak_keyword_rule
T1991058,AppleSupport,Hey why the Fuck can’t I️ say I️ ?,We'd like to be sure your keyboard is working normally. DM us and let us know what device and software version you're using.,2017-11-03 02:24:29+00:00,other,weak_keyword_rule
T962298,Uber_Support,listen I’m going to file an official complaint is winter not here ?Why is your driver smelling of BO Kmt no customer care for my nose,Here to help! Send us a note here: and our team will be in touch.,2017-10-21 22:00:08+00:00,other,weak_keyword_rule
T388412,AmazonHelp,I wish you guys would check your merchandise prior your shipment. You shipped something damaged to me.,Oh no! That's definitely not our intention! Please check here: for options.,2017-10-09 14:26:55+00:00,shipping_delivery,weak_keyword_rule
T1602408,Uber_Support,"Ride history, my home address, work, telephone number, and access to information about where I be at. How safe would you feel?",We've followed up via DM!,2017-11-05 06:42:44+00:00,other,weak_keyword_rule
T674380,Uber_Support,"Why too long to respond my email? I must login asap because i need transportation. Please be cooperative with me, cause this urgent for me",We apologize for the trouble! Send us a DM with your email address and we'll follow up.,2017-11-23 13:21:40+00:00,other,weak_keyword_rule
