id,brand,customer_message,intent,expected_action,label_source,sampling_method,notes
G0023,AmazonHelp,Seriously Is this the most hygienic place to find a parcel?,shipping_delivery,AUTO_HANDLE,assistant_single_annotator,stratified_random,Sarcastic complaint about parcel condition/location
G0024,Delta,"Plane is supposed to depart in 15 minutes, nobody has boarded and no additional information is being provided. Should be giving out MQMs",other,ESCALATE,assistant_single_annotator,stratified_random,"In-flight delay, no info given, time-sensitive"
G0025,Uber_Support,Thats definitely not what it looked like.. nor was it $88 worth of 4 burgers.. #burgersbyjosh Did someone eat 1 patty out of each burger on its way? #LaughableCustomerService #UberCheats #BurgersByJokes,shipping_delivery,AUTO_HANDLE,assistant_single_annotator,stratified_random,Wrong/incomplete food order delivered
G0026,Delta,. what's up with FL1425--BWI to ATL? Texts keep moving departure but no one at gate explaining what's the problem. Over hour delay.,other,ESCALATE,assistant_single_annotator,stratified_random,In-flight medical assistance compensation claim
G0027,AmazonHelp,we will purchase redmi 4a (show in stock) but order not proceed My mo. 7803079160,order_status,AUTO_HANDLE,assistant_single_annotator,stratified_random,Order timing question fragment
G0028,AppleSupport,Powerbeats 3 stopped working after 3 months. Won’t turn on or charge. Seems I’m not the only one. Plz fix for Powerbeats 4.,technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Hardware stopped working after 3 months
G0029,SpotifyCares,are you guys going to bring back My Year in Spotify 2017?!??!?,general_feedback,AUTO_HANDLE,assistant_single_annotator,stratified_random,Feature-return request
G0030,Delta,Whats your policy to make things right?,other,AUTO_HANDLE,assistant_single_annotator,stratified_random,General policy question
G0031,AppleSupport,My Snapchat isn’t working....Guess I’ll have to send selfies of myself via text. y’all trying to get the streak method via iMessage?,technical_issue,ESCALATE,assistant_single_annotator,stratified_random,"Third-party app integration not working, vague"
G0032,Delta,Any update on flight 1957? They have t given us a reason for the delay,other,ESCALATE,assistant_single_annotator,stratified_random,"Flight delay, no reason given, time-sensitive"
G0033,Uber_Support,I’ve sent a message through the link you provided via DM but have gotten no response? Does it always take this long?,general_feedback,ESCALATE,assistant_single_annotator,stratified_random,"No response to prior DM, process complaint"
G0034,AppleSupport,Why is IOS11.3 so rubbish! - my phone keeps crashing when I swap between 3G and WIFI it’s beyond annoying now!!😑,technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,iOS version crash bug
G0035,Delta,Thanks. Not sure why I wasn’t there already?,other,ESCALATE,assistant_single_annotator,stratified_random,Context-free fragment
G0036,AppleSupport,Why are apple chargers so crap 😤 sort it out !,technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Product quality complaint (charger)
G0037,SpotifyCares,"Ok , how is Kenny Rogers our top related artist? What’s up?",other,AUTO_HANDLE,assistant_single_annotator,stratified_random,Content/algorithm curiosity question
G0038,SpotifyCares,I’m using an iPhone 6s with iOS 11 and Spotify version 8.4.24,other,AUTO_HANDLE,assistant_single_annotator,stratified_random,"Version info fragment, no request"
G0039,Delta,I know most people can't say this over the holidays but I absolutely love ! They come through every time! #delta #loyal,general_feedback,AUTO_HANDLE,assistant_single_annotator,stratified_random,Positive loyalty tweet
G0040,AppleSupport,Hey how do I downgrade legally ios11 to 10? You've just cost me $600 in pro-camera hardware because app not supported!,technical_issue,ESCALATE,assistant_single_annotator,stratified_random,App compatibility broke paid hardware workflow
G0041,Uber_Support,. where's my car? 1 min away for 10? No answer??,order_status,ESCALATE,assistant_single_annotator,stratified_random,"Ride status, time-sensitive, no answer"
G0042,Delta,Hey sometimes your burecracy is stupid #notcustomerfocused,general_feedback,ESCALATE,assistant_single_annotator,stratified_random,Process/bureaucracy complaint
G0043,Delta,Is that it?!?!? We already did that. She’s staying for 1.5 months and she is going on a cruise. She has everything in that bag!,other,ESCALATE,assistant_single_annotator,stratified_random,Ambiguous baggage-related fragment
G0044,AppleSupport,I think it keeps getting knocked off of the charger at night some how. When I put it on the charger this morning it was really low battery I will keep you updated on it. Thanks for the reply.,technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Charging/battery bug
G0045,Uber_Support,I looks like the driver helped himself to my food order.,shipping_delivery,ESCALATE,assistant_single_annotator,stratified_random,Order tampered with by driver
G0046,Delta,"#AmAnth17 was great, but I ended up getting a cold. Thankfully, was able to get me on an earlier flight. Not super sick, but know I will feel better at home.",general_feedback,AUTO_HANDLE,assistant_single_annotator,stratified_random,Mixed positive feedback about event/flight
G0047,SpotifyCares,"I apologize, but my problem is back. It was shuffleing my songs this morning on my way to work, but now it is not working again for whatever reason. It’s doing the same thing as before where the shuffle light goes off as soon as the song changes. Please help!",technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Recurring shuffle bug
G0048,Delta,Aww man *snaps* I just missed the cut off. I’ll try again after graduation,other,AUTO_HANDLE,assistant_single_annotator,stratified_random,Off-topic personal note
G0049,SpotifyCares,Is the premium+hulu deal for students staying put or is it for a limited time?,general_feedback,AUTO_HANDLE,assistant_single_annotator,stratified_random,Pre-sales/plan duration question
G0050,Uber_Support,I need solution within 2 days,other,ESCALATE,assistant_single_annotator,stratified_random,Context-free urgent fragment
G0051,AmazonHelp,"hi, can you send me the link to enable me to query this delivery further? As the location doesn’t exist. Thanks",shipping_delivery,AUTO_HANDLE,assistant_single_annotator,stratified_random,"Delivery location error, needs help"
G0052,AmazonHelp,thanks! Have some downloaded but tablet only has 16gb storage was hoping to be able to put on SD card like Netflix titles,other,AUTO_HANDLE,assistant_single_annotator,stratified_random,How-to/storage question
G0053,Uber_Support,", my wife left her phone in a car, which makes it impossible for her to contact the driver. We can see the driver’s info online but the number is only accessible on he phone app. Please help.",other,ESCALATE,assistant_single_annotator,stratified_random,"Lost item, driver contact blocked"
G0054,SpotifyCares,Does this applies to Family plan?,other,AUTO_HANDLE,assistant_single_annotator,stratified_random,Plan/policy question
G0055,AmazonHelp,Haven't received any help till now...!!!!,general_feedback,ESCALATE,assistant_single_annotator,stratified_random,Vague 'no help' complaint
G0056,AmazonHelp,I got last Amazon mail on 17 Oct . That mail was promotional only..,other,AUTO_HANDLE,assistant_single_annotator,stratified_random,Promotional-email complaint
G0057,AppleSupport,why is this happening ? I’m connected to WiFi.,technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,WiFi connectivity bug
G0058,Uber_Support,So much for customer service and . Day 4 since I received this email and all I received was 33 cents.,billing_refund,ESCALATE,assistant_single_annotator,stratified_random,Inadequate compensation dispute (33 cents)
G0059,AppleSupport,IPhone 7 Plus du,other,ESCALATE,assistant_single_annotator,stratified_random,Truncated/unclear fragment
G0060,AppleSupport,"Usually I plug phone into MacBook, click the “import” tab in iPhoto. Now most photos don’t even show up, and if they do, won’t import.",technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Photo import bug
G0062,SpotifyCares,"Can introduce a thing where you can play multiple playlists at the same time. also if it does happen, I want free premium for life",general_feedback,AUTO_HANDLE,assistant_single_annotator,stratified_random,Feature request
G0063,AppleSupport,Version 11.1.2.,general_feedback,AUTO_HANDLE,assistant_single_annotator,stratified_random,Feature request
G0064,SpotifyCares,"should allow a ""never play artist list"" it would save a lot on skipping. Just a thought. Plus it would be fun to release that data!",technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Fewer daily mixes than expected (bug)
G0065,Uber_Support,why am I charged a £4 cancellation fee for a journey which wouldn’t cost that for cancelling a ride with a 12 minute wait after 2 mins despite you showing cars in the area with a 3-6 min wait both before and after cancelling!,billing_refund,ESCALATE,assistant_single_annotator,stratified_random,Cancellation-fee dispute
G0066,SpotifyCares,we need you in Russia like NOW! I’ve heard it all before: “Sign up and we will let you know”. Duh. Apple Music is a mess.,general_feedback,AUTO_HANDLE,assistant_single_annotator,stratified_random,Market-expansion request
G0067,AppleSupport,iPhone 7. Just went thru whole process with you guys to reset everything but made no difference. Your support peeps were great but just checking to see if anyone has other ideas on how to fix it,technical_issue,ESCALATE,assistant_single_annotator,stratified_random,"Reset didn't fix issue, following up"
G0068,Delta,unintended comedy today as the flight attendant for 1133 did a countdown every minute to get passengers to hurry for take off.,general_feedback,AUTO_HANDLE,assistant_single_annotator,stratified_random,Light positive/humorous feedback
G0069,Uber_Support,"New account holder, and my promo code isn’t working. 😡",technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Promo code functionality bug
G0070,SpotifyCares,Why isn't Loverboy by the legendary Mariah Carey available on Spotify?,other,AUTO_HANDLE,assistant_single_annotator,stratified_random,Content licensing question
G0071,AmazonHelp,One of the most irritating service by Amazon,general_feedback,ESCALATE,assistant_single_annotator,stratified_random,Vague service-quality complaint
G0073,AmazonHelp,"Hi I have an issue with signing in, Each time i put my pass it shows to me it's incorrect , even if I changed my pass",account_access,ESCALATE,assistant_single_annotator,stratified_random,Password rejected repeatedly
G0074,AmazonHelp,"Your Exchange offer service is not available in Sonipat pin code 131001,While amazon pantry & 1 day delivery is available here. Plz add this location also for exchange services. Thanks",other,AUTO_HANDLE,assistant_single_annotator,stratified_random,Service-availability-by-region question
G0075,AmazonHelp,why do I pay for 2 day shipping and it's going on 4 days.,shipping_delivery,AUTO_HANDLE,assistant_single_annotator,stratified_random,Paid-tier shipping SLA missed
G0076,AppleSupport,I don't even know what to do right now like wtf.... how could all my pictures be deleted like that?! Wtf why the fuck would y'all delete my shit?!!!!!!!!!,technical_issue,ESCALATE,assistant_single_annotator,stratified_random,Data loss (deleted photos) — high severity
G0077,Delta,I tried finding the number dedicated for sky miles members but couldn’t locate it.,other,AUTO_HANDLE,assistant_single_annotator,stratified_random,Contact-info request
G0078,SpotifyCares,"Web player is now working again for me, thanks for the response.",general_feedback,AUTO_HANDLE,assistant_single_annotator,stratified_random,Positive follow-up (resolved)
G0079,AppleSupport,"can you help me? my “Screen Recording” tool doesn’t record with the screen audio anymore, what can i do?",technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Feature-specific bug
G0080,Delta,has had issues on and I have not been able to use my free hour. When it finally connects only allows texting. 😒,technical_issue,ESCALATE,assistant_single_annotator,stratified_random,"In-flight wifi malfunction, time-sensitive"
G0081,Uber_Support,Hey why do I keep getting this error? I just want food!!!,technical_issue,ESCALATE,assistant_single_annotator,stratified_random,Recurring error blocking core function
G0082,AppleSupport,iPhone 7 and 11.1,other,ESCALATE,assistant_single_annotator,stratified_random,Context-free fragment
G0083,AmazonHelp,C10037271253,order_status,AUTO_HANDLE,assistant_single_annotator,stratified_random,"Order number provided, implied status request"
G0084,SpotifyCares,Yo your app isn’t working on the iPhone 8+ 🙄 help me out,technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Device-specific app bug
G0085,AppleSupport,"Why Airdrop is not working on my new phone? I’m trying to transfer some photos from the old one, but it’s not working at all!",technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Feature not working (AirDrop)
G0086,Uber_Support,"can I please have a contact number for Ubereats as I can't find one anywhere on the app or web page. I need reimbursing for monies taken without getting a complete food order, I need this dealing with ASAP!!!!!!!!",billing_refund,ESCALATE,assistant_single_annotator,stratified_random,"Reimbursement request, no contact channel found"
G0088,SpotifyCares,Mac OSX Sierra - 10.12.6 Spotify - 1.0.66.478.g1296534d,other,ESCALATE,assistant_single_annotator,stratified_random,"Version info fragment, no request"
G0089,Uber_Support,drivers will call you & say cancel trip just because payment is card & they want cash. Or call to ask where you are going..,security_fraud,ESCALATE,assistant_single_annotator,stratified_random,Reports drivers manipulating cash-vs-card payment
G0090,Uber_Support,I'm going to tweet on every big group on how bad the uber eats support is and how crapy the drivers are. I pay 30+ for cold wrong food,billing_refund,ESCALATE,assistant_single_annotator,stratified_random,"Wrong/cold order, threatens public complaint"
G0091,AmazonHelp,It's been approved,other,AUTO_HANDLE,assistant_single_annotator,stratified_random,Context-free fragment ('approved')
G0093,AppleSupport,iPhone 6 iOS 11.0.2!!!,other,ESCALATE,assistant_single_annotator,stratified_random,Context-free fragment
G0094,AppleSupport,Why on iOS 11 does the Bluetooth icon activate itself all the time?,technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Bluetooth icon glitch
G0096,Delta,Cheers! thanks for the safe travel today!,general_feedback,AUTO_HANDLE,assistant_single_annotator,stratified_random,Positive feedback
G0097,Delta,"Thanks from seat 1A for the upgrade and getting me on my way home, safe and secure",general_feedback,AUTO_HANDLE,assistant_single_annotator,stratified_random,Positive feedback (upgrade)
G0098,AppleSupport,iPhone 6 - both home & work Wi-fi - & after I’ve closed the app & re-started the phone,technical_issue,ESCALATE,assistant_single_annotator,stratified_random,"WiFi bug, persists after restart"
G0099,SpotifyCares,Spotify ain't fuckin around. Midnight of the day your premium account expires you're not playing shit except on shuffle. A head's up to renew would've been nice though fellas... or however you identify,billing_refund,ESCALATE,assistant_single_annotator,stratified_random,Subscription expired with no renewal warning
G0100,Delta,"Do social media teams like actually DO anything? My experience is they only provide a perception of customer service, not results",general_feedback,ESCALATE,assistant_single_annotator,stratified_random,Complaint about support-team effectiveness
G0102,Delta,"not feel like switching our seats? Disappointing. This was on DL163. Other than that, great service.",other,AUTO_HANDLE,assistant_single_annotator,stratified_random,"Seat-change request, mixed feedback"
G0103,AppleSupport,I’m referring to when it is plugged into charger and you say Hey Siri hands free,technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Feature-specific follow-up (Siri)
G0104,AmazonHelp,I have done 3 Times . I will Not do it further,other,ESCALATE,assistant_single_annotator,stratified_random,Ambiguous repeated-complaint fragment
G0105,SpotifyCares,"Yay, finally got my Daily mixes. I thought there was supposed to be six, though, only have two.",technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Fewer daily mixes than expected
G0106,Delta,what about Panama City Airport?,other,AUTO_HANDLE,assistant_single_annotator,stratified_random,Airport-specific question
G0107,AmazonHelp,"Transporteur : Amazon Logistics, n° de suivi C20023155993 :)",order_status,AUTO_HANDLE,assistant_single_annotator,stratified_random,"Tracking number shared, implied status check"
G0108,AmazonHelp,there was 10%cashbak on HDFC cards. But why same is not applicable for net banking?,billing_refund,AUTO_HANDLE,assistant_single_annotator,stratified_random,Promo/discount not applied to a payment method
G0109,Uber_Support,please help restart my account,account_access,ESCALATE,assistant_single_annotator,stratified_random,Account needs restart/restore
G0110,Uber_Support,can we schedule a ride for two stops?,other,AUTO_HANDLE,assistant_single_annotator,stratified_random,Feature/how-to question (multi-stop ride)
G0111,AmazonHelp,"Already talked to the customer service, NO HELP!",general_feedback,ESCALATE,assistant_single_annotator,stratified_random,Vague 'no help' complaint
G0112,AmazonHelp,Yes the other day she said she would refund one £7.99 then a further £8.99 came out again later that day without me knowing! my daughter is going to be £16.98 worth of presents down for Christmas. I am very unhappy!!,billing_refund,ESCALATE,assistant_single_annotator,stratified_random,Repeated unexpected charges after a refund
G0113,SpotifyCares,Is it based on downloaded songs or play time? I’m a premium subscriber and have almost all of his songs on my account but never received a presale code,other,AUTO_HANDLE,assistant_single_annotator,stratified_random,Presale-code eligibility question
G0114,Uber_Support,my food order never arrived. I need a refund! How can I get this?!,billing_refund,ESCALATE,assistant_single_annotator,stratified_random,"Order never arrived, explicit refund ask"
G0115,Uber_Support,the verification text code isn’t allowing me into to order food,technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Verification code blocking checkout
G0116,AmazonHelp,Sorry but ı didnt understand anything.,other,ESCALATE,assistant_single_annotator,stratified_random,Confused/unclear fragment
G0117,AmazonHelp,hello is this viewable on Roku app? i cant make it work thanks,technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Platform-specific playback issue
G0118,Delta,Great job !,general_feedback,AUTO_HANDLE,assistant_single_annotator,stratified_random,Positive feedback
G0119,SpotifyCares,please get a better shuffle algorithm or I’m switching to ....,general_feedback,ESCALATE,assistant_single_annotator,stratified_random,Threatens to churn over algorithm complaint
G0120,Delta,"Have done, just awaiting a response. Many thanks.",other,AUTO_HANDLE,assistant_single_annotator,stratified_random,Awaiting-response fragment
G0121,SpotifyCares,iOS version 10.0.2,other,AUTO_HANDLE,assistant_single_annotator,stratified_random,Version info fragment
G0122,Delta,"why charge me $25 to check a bag, then offer it for free at the gate? You already know the flight capacity and weight and balance of the bird, so calling a “game time decision” doesn’t cut it. #delta #bagfee",other,ESCALATE,assistant_single_annotator,stratified_random,Baggage-fee policy dispute
G0123,AmazonHelp,My email id is __email__ nd my contact no is 9818052840. I would really appreciate it if ull resolve the issue asap..,other,ESCALATE,assistant_single_annotator,stratified_random,"Contact info given, unspecified issue"
G0124,AppleSupport,when are you guys gonna bring a fix out for all the iphones you’ve trashed with ios11? Mines keeps crashing,technical_issue,ESCALATE,assistant_single_annotator,stratified_random,Widespread post-update crashing
G0125,SpotifyCares,Why aren't the Nicole Wray songs I want to listen to on ?,other,AUTO_HANDLE,assistant_single_annotator,stratified_random,Content-availability question
G0126,Uber_Support,3y driver 6000 pickups 0% cansel 80% exap rate gets deactivated being off line using restroom for parking spot,other,ESCALATE,assistant_single_annotator,stratified_random,"Driver-side account issue, not a customer support case"
G0127,Uber_Support,"Yo, , my driver sent me a cleaning fee for a six minute ride that no one threw up or peed or defecated on. My Uber driver lied. Fix pls",billing_refund,ESCALATE,assistant_single_annotator,stratified_random,Disputed cleaning-fee charge
G0128,SpotifyCares,"it started happening around june i guess, i cannot say when exactly. it only relates to my laptop, spotify app on my tablet works perfect",technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Device-specific playback bug
G0129,Uber_Support,your map technology fails again. This time by 10 mins cf and google maps #fail,technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Mapping/ETA inaccuracy
G0130,SpotifyCares,Why is Kenny Chesney - Anything But Mine off Spotify now? #FavouriteSong #BringItBack,other,AUTO_HANDLE,assistant_single_annotator,stratified_random,Content-availability question
G0131,AppleSupport,"hi, I am locked out of my apple account and can’t enter my trusted number because it is an old unused phone number, help 🙏🏻",account_access,ESCALATE,assistant_single_annotator,stratified_random,"Locked out, 2FA number outdated"
G0132,Uber_Support,". driver arrives, calls to say outside.Asks where I’m going (even though destination postcode is on my booking)then cancels trip😡😡",other,ESCALATE,assistant_single_annotator,stratified_random,Driver cancels after confirming destination
G0133,AppleSupport,Do you have the UK contact details please?,other,AUTO_HANDLE,assistant_single_annotator,stratified_random,Contact-info request
G0134,AppleSupport,"Hey , my iPhone X is resetting every couple of seconds, and it seems the whole world is experiencing this issue! Get to work and make my €1329 phone worth the money! cc #Apple #Dec2",technical_issue,ESCALATE,assistant_single_annotator,stratified_random,"Device-wide resetting bug, high value item"
G0135,SpotifyCares,Hi I just got a new laptop & wondering if there's a way to transfer downloaded songs from my old one w/o redownloading? Thanks,other,AUTO_HANDLE,assistant_single_annotator,stratified_random,How-to/migration question
G0137,Delta,"What exactly does ""Changable / NonRefundable"" mean? If we cancel a flight, how long do we have to use the credit? Also, is there a change fee?",other,AUTO_HANDLE,assistant_single_annotator,stratified_random,Fare-rules policy question
G0138,AmazonHelp,"Is there new measure to increase the minimum amount of orders? I can’t order 1 unit of a lot daily use products. Deo, Coffee, Chocolates etc. What’s up?",other,AUTO_HANDLE,assistant_single_annotator,stratified_random,Order-quantity policy question
G0139,SpotifyCares,I’m confused,other,ESCALATE,assistant_single_annotator,stratified_random,Context-free 'I'm confused'
G0140,SpotifyCares,tell to fix my album info!,technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Metadata bug
G0141,AppleSupport,"is this normal? When I️ tap that symbol, it defaults to “I️”",technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Autocorrect bug
G0142,AmazonHelp,do you deliver on Saturdays? I missed a delivery yesterday so wondering if it’ll come today,order_status,AUTO_HANDLE,assistant_single_annotator,stratified_random,Delivery-schedule question
G0143,Uber_Support,"#Uber now charging extra for out-of-the-way pickups, last-min cancellations & slowness in general. ...My bad, guys.",billing_refund,ESCALATE,assistant_single_annotator,stratified_random,Unexpected extra charges
G0144,AppleSupport,thanks a lot for the update that now autocorrects “i” to some random A ? #wtf,technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Autocorrect bug
G0145,Delta,"I'll definitely ask! Also, can you tweet/tag happy birthday too so he can get a twitter shoutout?",other,AUTO_HANDLE,assistant_single_annotator,stratified_random,Off-topic social request
G0146,SpotifyCares,"hey there, so i'm playing a playlist and then denzel curry - ultimate comes on and plays, but the song keeps ""playing"" after the song is over. the song was supposed to be over at 3:09 but it's now at 25:15 with no sound or anything and i can't pause or skip. pls hlp",technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Playback-state bug
G0147,AppleSupport,"., please fix the 'i' bug. I can't get over it autocorrecting into a weird symbol.",technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Autocorrect bug
G0148,SpotifyCares,"hello, may I please get a refund? I cancelled your services and never meant for a premium subscription, thank you!",billing_refund,ESCALATE,assistant_single_annotator,stratified_random,Wants refund for accidental subscription
G0149,SpotifyCares,"i need to contact customer service in Spain, there is a problem with payment. help help",billing_refund,ESCALATE,assistant_single_annotator,stratified_random,"Payment problem, needs region-specific support"
G0150,AmazonHelp,"Okay start a twitter page exclusively for me then. Deliver my order, guys!",order_status,ESCALATE,assistant_single_annotator,stratified_random,Sarcastic escalation of delivery complaint
G0151,Delta,"Major delay on out of YWG. Staff has brought snacks, cards, and sudoku books for us while we wait. Well done!",general_feedback,AUTO_HANDLE,assistant_single_annotator,stratified_random,Positive feedback despite delay
G0152,AppleSupport,Why Does my iPhone randomly Capitalize words When I type? Like this one. Just random Words are capitalized for No reason! #wtf,technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Autocorrect/capitalization bug
G0153,SpotifyCares,I keep trying to open to play 22 but it keeps crashing 🙃,technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,App crash bug
G0154,Uber_Support,is the worst company ever if you have a choice use i got charged 11$ for a ride in california when i live in maryland and i got an automated response insted of a real person looking at my support ticket,billing_refund,ESCALATE,assistant_single_annotator,stratified_random,Charged for ride in wrong city
G0155,Uber_Support,your ride is 7mins. Now your rise is 9mins away. Want to cancel? We'll charge you for the time we've added on. Deserve to lose London,billing_refund,ESCALATE,assistant_single_annotator,stratified_random,"ETA changed, threatened cancellation fee"
G0156,Uber_Support,When you just wanna go home but your driver decides to leave the state & do a midnight DC tour 🙄,other,ESCALATE,assistant_single_annotator,stratified_random,"Driver went off-route, safety-adjacent"
G0157,AppleSupport,Thank you !!!,general_feedback,AUTO_HANDLE,assistant_single_annotator,stratified_random,Positive feedback
G0158,AppleSupport,Trying to multi-task while talking on the phone with #iOS11 & this keeps happening?!? ? #ios11problems,technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Multitasking bug
G0159,AmazonHelp,customer service is not #amazons cup of tea. Hvnt received my order it was 2b delivered 3 days back . D rply frn ur CS is pathetic.,shipping_delivery,ESCALATE,assistant_single_annotator,stratified_random,Order not received as promised
G0161,Delta,It’s upsetting these practices are happening with your gate agents. She was also very unfriendly helping my wife get her seat assignment. Worst experience we’ve had with delta. As an almost platinum medallion it’s Sad to see this is how non medallion members are treated.,general_feedback,ESCALATE,assistant_single_annotator,stratified_random,Complaint about staff conduct
G0162,Delta,#atl to #Boston let’s do this,other,AUTO_HANDLE,assistant_single_annotator,stratified_random,Off-topic social tweet
G0163,AppleSupport,Fix Apple Watch update glitchy af,technical_issue,AUTO_HANDLE,assistant_single_annotator,stratified_random,Update-related glitch
